date,season,opponent,points_scored,points_allowed
1916-10-07,1916,Willamette,97,0
1916-10-14,1916,Multnomah A.C.,28,0
1916-10-21,1916,California,39,14
1916-11-04,1916,Washington,0,0
1916-11-11,1916,Washington State,12,3
1916-11-25,1916,Oregon State,27,0
1916-11-29,1916,Multnomah A.C.,27,0
1917-01-01,1916,Pennsylvania,14,0
1917-10-13,1917,Multnomah A.C.,14,7
1917-10-20,1917,Washington State,3,26
1917-10-27,1917,Idaho,14,0
1917-11-03,1917,Willamette,14,0
1917-11-10,1917,Mare Island Marines,0,27
1917-11-17,1917,California,21,0
1917-11-29,1917,Oregon State,7,14
1918-10-12,1918,Multnomah A.C.,0,20
1918-11-02,1918,Foundation,41,0
1918-11-09,1918,Fort Lewis,20,3
1918-11-16,1918,Oregon State,13,6
1918-11-23,1918,California,0,6
1918-12-01,1918,Washington,7,0
1919-10-11,1919,Multnomah A.C.,23,0
1919-10-18,1919,Idaho,26,6
1919-11-01,1919,Washington,24,13
1919-11-08,1919,Washington State,0,7
1919-11-15,1919,Oregon State,9,0
1919-11-27,1919,Multnomah A.C.,15,7
1920-01-01,1919,Harvard,6,7
1920-10-09,1920,Multnomah A.C.,7,0
1920-10-23,1920,Idaho,13,7
1920-10-30,1920,Stanford,0,10
1920-11-13,1920,Washington,17,0
1920-11-20,1920,Oregon State,0,0
1920-11-25,1920,Southern California,0,21
1921-10-01,1921,Willamette,7,3
1921-10-08,1921,Pacific,21,7
1921-10-15,1921,Idaho,7,7
1921-10-22,1921,California,0,39
1921-11-05,1921,Washington State,7,7
1921-11-12,1921,Multnomah A.C.,21,7
1921-11-19,1921,Oregon State,0,0
1921-12-26,1921,Hawaii,47,0
1922-01-01,1921,Pearl Harbor,35,5
1922-10-07,1922,Willamette,37,0
1922-10-14,1922,Multnomah A.C.,0,20
1922-10-20,1922,Whitman,6,3
1922-10-28,1922,Idaho,3,0
1922-11-04,1922,Pacific,27,0
1922-11-11,1922,Washington State,13,0
1922-11-18,1922,Oregon State,10,0
1922-11-30,1922,Washington,3,3
1923-09-30,1923,Willamette,40,0
1923-10-13,1923,Pacific,35,7
1923-10-18,1923,Whitman,21,0
1923-10-27,1923,Idaho,0,0
1923-11-03,1923,Washington State,7,13
1923-11-10,1923,Stanford,3,14
1923-11-25,1923,Oregon State,0,6
1923-12-01,1923,Washington,7,26
1924-09-27,1924,Willamette,0,0
1924-10-11,1924,Pacific,20,0
1924-10-18,1924,Stanford,13,28
1924-10-25,1924,Whitman,40,6
1924-11-01,1924,Washington,7,3
1924-11-08,1924,Idaho,0,13
1924-11-15,1924,Washington State,7,7
1924-11-22,1924,Oregon State,7,3
1924-11-29,1924,Multnomah A.C.,0,0
1925-10-03,1925,Multnomah A.C.,0,0
1925-10-10,1925,Idaho,0,6
1925-10-17,1925,Pacific,13,0
1925-10-24,1925,California,0,28
1925-10-31,1925,Stanford,13,35
1925-11-14,1925,Oregon State,13,24
1925-11-28,1925,Washington,14,15
1926-09-25,1926,Willamette,44,0
1926-10-02,1926,Pacific,0,0
1926-10-09,1926,Washington,9,23
1926-10-23,1926,Stanford,12,29
1926-10-30,1926,California,21,13
1926-11-13,1926,Washington State,0,7
1926-11-20,1926,Oregon State,0,16
1927-09-25,1927,Linfield,7,0
1927-10-01,1927,Pacific,31,6
1927-10-08,1927,Idaho,0,0
1927-10-15,1927,California,0,16
1927-10-29,1927,Stanford,0,19
1927-11-12,1927,Oregon State,7,21
1927-11-24,1927,Washington,0,7
1928-09-30,1928,Pacific,45,0
1928-10-06,1928,Stanford,12,26
1928-10-13,1928,Willamette,38,6
1928-10-20,1928,Washington,27,0
1928-10-27,1928,Western Oregon,24,0
1928-11-03,1928,California,0,13
1928-11-17,1928,Oregon State,12,0
1928-11-24,1928,Montana,31,6
1928-11-29,1928,UCLA,26,6
1928-12-25,1928,Hawaii All-Stars,13,2
1929-01-01,1928,Hawaii,6,0
1929-09-29,1929,Pacific,58,0
1929-10-05,1929,Stanford,7,33
1929-10-12,1929,Willamette,34,0
1929-10-19,1929,Idaho,34,7
1929-10-26,1929,Washington,14,0
1929-11-02,1929,UCLA,27,0
1929-11-16,1929,Oregon State,16,0
1929-11-23,1929,Hawaii,7,0
1929-11-28,1929,St. Mary's,6,31
1929-12-07,1929,Florida,6,20
1930-09-15,1930,Pacific,20,0
1930-09-22,1930,Willamette,51,0
1930-09-29,1930,Linfield,6,0
1930-10-04,1930,Drake,14,7
1930-10-18,1930,Washington,7,0
1930-10-25,1930,Idaho,20,6
1930-11-08,1930,UCLA,7,0
1930-11-15,1930,Oregon State,0,15
1930-11-27,1930,St. Mary's,6,7
1931-09-20,1931,Western Oregon,21,6
1931-09-27,1931,Willamette,20,0
1931-10-03,1931,Idaho,9,0
1931-10-10,1931,Washington,13,0
1931-10-17,1931,Southern California,0,53
1931-10-24,1931,North Dakota,0,0
1931-10-31,1931,New York University,14,6
1931-11-14,1931,Oregon State,0,0
1931-11-21,1931,UCLA,13,6
1931-11-26,1931,St. Mary's,0,16
1932-09-23,1932,Pacific,26,6
1932-10-01,1932,Santa Clara,7,0
1932-10-08,1932,Washington,0,0
1932-10-15,1932,UCLA,7,12
1932-10-22,1932,Idaho,32,0
1932-10-29,1932,Gonzaga,13,0
1932-11-05,1932,Oregon State,12,6
1932-11-12,1932,Southern California,0,33
1932-11-24,1932,St. Mary's,0,7
1932-12-17,1932,Louisiana State,12,0
1933-09-23,1933,Linfield,53,0
1933-09-30,1933,Gonzaga,14,0
1933-10-07,1933,Portland,14,7
1933-10-14,1933,Washington,6,0
1933-10-20,1933,Idaho,19,0
1933-10-28,1933,UCLA,7,0
1933-11-04,1933,Utah,26,7
1933-11-11,1933,Oregon State,13,3
1933-11-18,1933,Southern California,0,26
1933-11-30,1933,St. Mary's,13,7
